Latitude,Longitude
-4.17149,-76.26877	
-13.59450,-56.53473	
-19.42027,-137.49841	
-19.68509,22.89576	
-20.82761,-53.13491	
-23.43562,-50.87741	
2.25700,-70.43562	
3.08102,-71.67944	
-5.04466,-78.88023	
4.02198,-71.56331	
-12.94337,-57.40984	
-23.13073,-51.50155	
-5.32283,-75.45672	
-5.35773,-75.35985	
-5.43633,-74.98193	
-5.78139,-76.92072	
-13.63902,-52.41431	
-13.70891,-52.47211	
-19.84117,-135.91425	
5.63312,-71.64001	
6.10017,-77.20990	
-12.68403,-57.58956	
-14.28519,-52.29253	
-22.59203,-46.65532	
5.50574,-73.43696	
-11.48211,-56.49599	
-12.77327,-56.97131	
-12.78322,-56.97154	
-12.79766,-56.99831	
-17.88520,-67.54126	
-19.16928,65.36656	
-5.35268,-47.56231	
-3.35250,-52.89505	
4.61957,-74.54922	
4.65919,-74.73170	
4.65957,-74.73486	
-14.31735,-51.75994	
-23.47884,-45.80079	
-10.24686,-75.40163	
-25.38344,-45.25245	
-25.41430,-45.15829	
-5.52598,-75.05692	
5.57005,-74.26094	
5.57950,-74.25998	
6.51889,-77.20388	
-11.90103,-74.86423	
-3.46024,-63.32461	
-5.49709,-75.15271	
4.89870,-73.14440	
-3.38761,-63.04345	
-32.74549,-42.68575	
-5.00299,-75.56728	
-5.00452,-75.56872	
-19.45410,-50.53311	
-4.29621,-74.23855	
-9.90848,-75.80313	
5.16614,-75.93777	
-15.71069,22.27874	
-23.30623,-51.02834	
-8.98467,-60.36963	
3.77178,-71.34142	
-5.46357,-75.07077	
5.47261,4.89066	
-19.32129,-50.78704	
-25.09587,-45.29260	
-25.16105,-45.17343	
-14.30133,-57.16599	
-15.11559,-56.69770	
-14.25308,-57.42609	
2.07563,-66.98090	
4.02711,-71.49910	
-3.49043,-70.00517	
-5.29811,-74.82420	
4.05102,-71.44823	
-17.49686,-67.89986	
-51.97498,6.87280	
-11.72506,-72.48240	
-12.24063,-52.29160	
-12.47730,-51.90120	
-12.48134,-51.90432	
-13.97240,-56.31410	
-14.70193,-55.80981	
-4.17935,-74.06828	
0.48413,-71.32757	
-10.28683,-75.47892	
-25.56347,-44.99658	
-25.56351,-44.97663	
-5.58714,-75.01704	
-5.61348,-75.14844	
-10.99566,-56.95769	
-17.94877,-66.97393	
-17.96129,-67.58787	
5.23557,-75.27061	
3.89132,-71.33772	
-25.41488,-45.18948	
-3.99583,-75.18069	
